feat,type,minimum,maximum
RuleTooFewVerbs.min_verb_frac.v,good,-Inf,0.4366984314331238
RuleTooFewVerbs.min_verb_frac.v,medium,0.4366984314331238,0.5076930885585139
RuleTooFewVerbs.min_verb_frac.v,bad,0.5076930885585139,Inf
RuleTooLongExpressions,good,-Inf,0.0012079225508482103
RuleTooLongExpressions,medium,0.0012079225508482103,0.0030941369764439864
RuleTooLongExpressions,bad,0.0030941369764439864,Inf
RuleTooManyNegations.max_allowable_negations,good,-Inf,1.1666666666666667
RuleTooManyNegations.max_allowable_negations,medium,1.1666666666666667,1.3605555555555555
RuleTooManyNegations.max_allowable_negations,bad,1.3605555555555555,Inf
RuleTooManyNegations.max_allowable_negations.v,good,-Inf,0.34274362563634125
RuleTooManyNegations.max_allowable_negations.v,medium,0.34274362563634125,0.4814150037200355
RuleTooManyNegations.max_allowable_negations.v,bad,0.4814150037200355,Inf
RuleTooManyNegations.max_negation_frac,bad,-Inf,0.1682887935906316
RuleTooManyNegations.max_negation_frac,medium,0.1682887935906316,0.215167447970273
RuleTooManyNegations.max_negation_frac,good,0.215167447970273,Inf
RuleTooManyNominalConstructions.max_allowable_nouns,good,-Inf,3.0826163198503624
RuleTooManyNominalConstructions.max_allowable_nouns,medium,3.0826163198503624,3.601576278659612
RuleTooManyNominalConstructions.max_allowable_nouns,bad,3.601576278659612,Inf
RuleTooManyNominalConstructions.max_allowable_nouns.v,good,-Inf,0.7146774285238201
RuleTooManyNominalConstructions.max_allowable_nouns.v,medium,0.7146774285238201,0.8161906589400455
RuleTooManyNominalConstructions.max_allowable_nouns.v,bad,0.8161906589400455,Inf
RuleTooManyNominalConstructions.max_noun_frac,good,-Inf,0.3344096676645094
RuleTooManyNominalConstructions.max_noun_frac,medium,0.3344096676645094,0.3545883145609583
RuleTooManyNominalConstructions.max_noun_frac,bad,0.3545883145609583,Inf
RuleTooManyNominalConstructions.max_noun_frac.v,bad,-Inf,0.3407697981655414
RuleTooManyNominalConstructions.max_noun_frac.v,medium,0.3407697981655414,0.37879303623578175
RuleTooManyNominalConstructions.max_noun_frac.v,good,0.37879303623578175,Inf
RuleVerbalNouns,good,-Inf,0.042045199699319316
RuleVerbalNouns,medium,0.042045199699319316,0.062290790174716615
RuleVerbalNouns,bad,0.062290790174716615,Inf
activity,bad,-Inf,0.39401046810191587
activity,medium,0.39401046810191587,0.4496595967530767
activity,good,0.4496595967530767,Inf
ari,good,-Inf,10.360380850516606
ari,medium,10.360380850516606,12.182405996801286
ari,bad,12.182405996801286,Inf
atl,good,-Inf,5.381084065732275
atl,medium,5.381084065732275,5.674716251912043
atl,bad,5.674716251912043,Inf
cli,good,-Inf,10.67243785579054
cli,medium,10.67243785579054,11.890534690573055
cli,bad,11.890534690573055,Inf
entropy,good,-Inf,7.596054543139697
entropy,medium,7.596054543139697,7.994172061281053
entropy,bad,7.994172061281053,Inf
fkgl,good,-Inf,12.40205753833208
fkgl,medium,12.40205753833208,13.938030570595462
fkgl,bad,13.938030570595462,Inf
fre,bad,-Inf,32.59289351557182
fre,medium,32.59289351557182,40.5865627250363
fre,good,40.5865627250363,Inf
gf,good,-Inf,13.077756877331998
gf,medium,13.077756877331998,14.923358106099272
gf,bad,14.923358106099272,Inf
hpoint,bad,-Inf,11
hpoint,medium,11,16.666666666666668
hpoint,good,16.666666666666668,Inf
maentropy,good,-Inf,5.84089314081123
maentropy,medium,5.84089314081123,5.931965713436169
maentropy,bad,5.931965713436169,Inf
maentropy.v,bad,-Inf,0.02428721921946878
maentropy.v,medium,0.02428721921946878,0.03357893559976475
maentropy.v,good,0.03357893559976475,Inf
mamr,bad,-Inf,0.09402678571428567
mamr,medium,0.09402678571428567,0.11092316237541532
mamr,good,0.11092316237541532,Inf
mattr,good,-Inf,0.6766339514571877
mattr,medium,0.6766339514571877,0.7087150197971385
mattr,bad,0.7087150197971385,Inf
mattr.v,bad,-Inf,0.07118615305374512
mattr.v,medium,0.07118615305374512,0.09682268339037003
mattr.v,good,0.09682268339037003,Inf
num_hapax,good,-Inf,0.15947751192322712
num_hapax,medium,0.15947751192322712,0.2255563719263069
num_hapax,bad,0.2255563719263069,Inf
sent_count,bad,-Inf,53.5
sent_count,medium,53.5,108.75
sent_count,good,108.75,Inf
smog,good,-Inf,12.320016079839352
smog,medium,12.320016079839352,13.622657504785781
smog,bad,13.622657504785781,Inf
ttr,good,-Inf,0.2989437717412413
ttr,medium,0.2989437717412413,0.38685733383754184
ttr,bad,0.38685733383754184,Inf
verb_dist,good,-Inf,10.026788687502975
verb_dist,medium,10.026788687502975,12.033694310402872
verb_dist,bad,12.033694310402872,Inf
word_count,good,-Inf,894.5
word_count,medium,894.5,1737.5
word_count,bad,1737.5,Inf
